participante,id_participante,jogo,fase,data,selecao_1,palpite_1,palpite_2,selecao_2,status
Adailton,adailton,97,Quartas,2026-07-09,França,2,0,Morocco,OK
Adailton,adailton,98,Quartas,2026-07-10,Spain,2,0,Belgium,OK
Adailton,adailton,99,Quartas,2026-07-11,Norway,1,0,England,OK
Adailton,adailton,100,Quartas,2026-07-11,Argentina,0,0,Switzerland,OK
Adailton,adailton,101,Semifinal,2026-07-14,França,2,3,Spain,OK
Adailton,adailton,102,Semifinal,2026-07-15,England,1,0,Argentina,OK
Adailton,adailton,103,3º lugar,2026-07-18,França,3,0,England,OK
Adailton,adailton,104,Final,2026-07-19,Spain,2,0,Argentina,OK
Arthur,arthur,1,Fase de Grupos,2026-06-11,México,2,1,África do Sul,OK
Arthur,arthur,2,Fase de Grupos,2026-06-11,Coreia do Sul,0,2,Rep. Tcheca,OK
Arthur,arthur,3,Fase de Grupos,2026-06-18,Rep. Tcheca,2,0,África do Sul,OK
Arthur,arthur,4,Fase de Grupos,2026-06-18,México,1,1,Coreia do Sul,OK
Arthur,arthur,5,Fase de Grupos,2026-06-24,Rep. Tcheca,2,1,México,OK
Arthur,arthur,6,Fase de Grupos,2026-06-24,África do Sul,2,2,Coreia do Sul,OK
Arthur,arthur,7,Fase de Grupos,2026-06-12,Canadá,1,1,Bósnia,OK
Arthur,arthur,8,Fase de Grupos,2026-06-13,Catar,0,3,Suíça,OK
Arthur,arthur,9,Fase de Grupos,2026-06-18,Suíça,1,1,Bósnia,OK
Arthur,arthur,10,Fase de Grupos,2026-06-18,Canadá,2,0,Catar,OK
Arthur,arthur,11,Fase de Grupos,2026-06-24,Suíça,2,0,Canadá,OK
Arthur,arthur,12,Fase de Grupos,2026-06-24,Bósnia,2,0,Catar,OK
Arthur,arthur,13,Fase de Grupos,2026-06-13,Brasil,2,1,Marrocos,OK
Arthur,arthur,14,Fase de Grupos,2026-06-13,Haiti,0,3,Escócia,OK
Arthur,arthur,15,Fase de Grupos,2026-06-19,Escócia,1,2,Marrocos,OK
Arthur,arthur,16,Fase de Grupos,2026-06-19,Brasil,4,0,Haiti,OK
Arthur,arthur,17,Fase de Grupos,2026-06-24,Escócia,1,3,Brasil,OK
Arthur,arthur,18,Fase de Grupos,2026-06-24,Marrocos,3,0,Haiti,OK
Arthur,arthur,19,Fase de Grupos,2026-06-12,Estados Unidos,2,1,Paraguai,OK
Arthur,arthur,20,Fase de Grupos,2026-06-14,Austrália,1,2,Turquia,OK
Arthur,arthur,21,Fase de Grupos,2026-06-19,Estados Unidos,1,1,Austrália,OK
Arthur,arthur,22,Fase de Grupos,2026-06-20,Turquia,1,0,Paraguai,OK
Arthur,arthur,23,Fase de Grupos,2026-06-25,Turquia,2,0,Estados Unidos,OK
Arthur,arthur,24,Fase de Grupos,2026-06-25,Paraguai,1,0,Austrália,OK
Arthur,arthur,25,Fase de Grupos,2026-06-14,Alemanha,5,0,Curaçau,OK
Arthur,arthur,26,Fase de Grupos,2026-06-14,Costa do Marfim,2,1,Equador,OK
Arthur,arthur,27,Fase de Grupos,2026-06-20,Alemanha,1,1,Costa do Marfim,OK
Arthur,arthur,28,Fase de Grupos,2026-06-20,Equador,2,0,Curaçau,OK
Arthur,arthur,29,Fase de Grupos,2026-06-25,Curaçau,1,2,Costa do Marfim,OK
Arthur,arthur,30,Fase de Grupos,2026-06-25,Equador,2,4,Alemanha,OK
Arthur,arthur,31,Fase de Grupos,2026-06-14,Países Baixos,2,2,Japão,OK
Arthur,arthur,32,Fase de Grupos,2026-06-14,Suécia,3,0,Tunísia,OK
Arthur,arthur,33,Fase de Grupos,2026-06-20,Países Baixos,2,1,Suécia,OK
